N_01,N_02,N_03,N_04,N_05,N_06_A,N_06_B,N_06_C,N_07,N_08,N_09,N_09_TEXTO,N_10_A,N_10_B,N_10_C,N_10_D,N_10_E,N_10_F,N_10_G,N_10_H,N_10_I,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,2,,,,,,,,,,,,,,,,,,,,41809,5,1,5
3,1,1,2,,,,,,,8000,OCHO MIL PESOS,,,,1,,,1,,,42645,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,42924,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,42935,1,1,1
2,1,2,2,,,,,,,30000,TREINTA MIL PESOS,,,,1,,,,,,43211,1,1,1
3,1,2,2,,,,,,,20000,VEINTE MIL PESOS,,,,1,,,,,,43266,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,43438,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,43544,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,43843,4,1,4
9,2,,,,,,,,,,,,,,,,,,,,43934,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,44430,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,44516,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,45058,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,45216,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,45229,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,45815,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,45928,1,1,1
3,1,2,2,,,,,,,8000,LA PERSONA NO PAGO NADA SOLO QUE EL CAMPO NO ACEPTA CERO,,,,1,,,,,,45978,3,1,3
3,1,1,2,,,,,,,10000,DIEZ MIL,,,,,1,,,,,46178,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,46204,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,46206,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,46590,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,46725,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,47216,1,1,1
2,1,1,2,,,,,,,8000,OCHO MIL PESOS,,,,1,,,,,,47258,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,47334,1,1,1
3,1,4,1,10,1,,,3,2,40000,CUARENTA MIL PESOS,,,,,,,1,,,47389,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,47402,1,1,1
9,2,,,,,,,,,,,,,,,,,,,,47466,2,1,2
3,1,3,1,2,1,,,2,1,45000,CUARENTA Y CINCO MIL PESOS,,1,,,,,1,,,47663,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,47812,3,1,3
3,1,2,2,,,,,,,10000,diez mil pesos,,,,1,,,,,,47860,2,1,2
3,1,2,1,1,1,,,1,1,40000,CUARENTA MIL PESOS,,,,1,,,,,,47967,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,47968,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,47973,1,1,1
3,1,3,1,5,1,,,2,1,20000,VEITE MIL PESOS,,,,1,,,,,,48380,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,48555,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,48857,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,48871,2,1,2
3,1,2,1,1,,1,,,2,50000,CINCUENTA MIL PESOS,,,,,1,,,,,49000,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,49055,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,49109,2,1,2
1,1,2,1,1,,1,,,2,50000,CINCUENTA MIL PESOS,,,,1,,,,,,49232,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,49552,3,1,3
3,1,2,2,,,,,,,30000,TREINTA MIL,,,,,,,1,,,49558,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,49565,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,49567,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,49777,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,49812,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,49851,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,49915,3,1,3
3,1,1,2,,,,,,,8000,CERO,,,,1,,,,,,49980,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,50067,1,1,1
3,1,1,2,,,,,,,10000,DIEZ MIL,,,,,1,,,,,50197,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,50234,1,1,1
3,1,1,2,,,,,,,8000,OCHO MIL PESOS,,,,,1,,,,,50396,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,50432,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,50507,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,50590,2,1,2
2,1,2,2,,,,,,,8000,OCHO MIL PESOS,,,,,,1,,,,50614,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,50659,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,50936,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,51064,3,1,3
2,1,2,2,,,,,,,35000,TREINTA Y CINCO MIL PESOS,,,,1,,,,,,51130,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,51552,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,51619,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,51749,2,1,2
1,1,4,1,15,1,,,3,1,8000,OCHO MIL PESOS,,,,1,,,1,,,51788,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,52213,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,52701,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,53151,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,53380,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,53497,5,1,5
3,2,,,,,,,,,,,,,,,,,,,,53593,2,1,2
2,1,1,2,,,,,,,10000,DIEZ MIL,,,,1,,,,,,53707,1,1,1
2,1,2,2,,,,,,,35000,TREINTA Y CINCO MIL,,,,,,,,,1,53784,1,1,1
1,1,1,1,1,1,,,1,1,8000,OCHO MIL PESOS,,,,1,,,,,,53845,1,1,1
2,1,2,2,,,,,,,15000,QUINCE MIL PESOS,,,,1,,,,,,53873,5,1,5
3,1,1,2,,,,,,,8000,OCHO MIL PESOS,,,,1,,,,,,53885,2,1,2
2,1,2,2,,,,,,,35000,TREINTA Y CINCO MIL PESOS,,,,,,,1,,,53938,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,54146,4,1,4
3,1,2,2,,,,,,,8000,OCHO MIL PESOS,,,,1,,,,,,54306,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,54333,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,54549,1,1,1
3,1,1,1,1,,1,,,2,13000,TRECE MIL,,,,1,,,,,,54764,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,54823,1,1,1
3,1,2,1,6,,1,,,1,8000,OCHO MIL PESOS,,,,1,,,,,,54938,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,54979,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,55127,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,55278,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,55557,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,55559,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,55560,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,55700,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,55727,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,55834,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,55974,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,55991,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,56056,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,56124,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,56221,3,1,3
3,1,2,2,,,,,,,20000,VEINTE MIL PESOS,,,1,,,,,,,56283,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,56320,1,1,1
3,1,2,2,,,,,,,8000,OCHO MIL PESOS,,,,1,,,,,,56382,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,56386,1,1,1
3,1,1,2,,,,,,,10000,DIES MIL PESOS,,,,1,,,,,,56600,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,56641,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,56649,2,1,2
3,1,1,2,,,,,,,8000,OCHO MIL PESOS,,,,1,,,,,,56736,2,1,2
3,1,2,2,,,,,,,30000,TREINTA MIL,,,,,1,,,,,56802,3,1,3
2,1,4,1,2,1,,,2,1,11000,ONCE MIL PESOS,,,,1,,,,,,56930,1,1,1
3,1,3,1,2,1,,,3,1,25000,VEINTICINCO MIL PESOS,,,,1,,,,,,57069,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,57517,1,1,1
3,1,1,1,1,1,,,1,2,20000,VEINTE MIL PESOS,,,,,1,,,,,57628,11,1,11
2,1,2,2,,,,,,,25000,VEINTICINCO,,,,1,,,,,,57666,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,57870,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,57947,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,57989,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,58009,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,58177,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,58274,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,58354,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,58919,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,59250,1,1,1
9,1,2,2,,,,,,,20000,veinte mil pesos,,,,1,,,,,,59316,3,1,3
2,1,4,1,15,1,,,2,1,8000,ocho mil,,,1,1,1,1,,,,59429,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,59508,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,59570,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,59577,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,59586,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,59629,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,59694,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,59835,1,1,1
3,1,2,1,1,1,,,1,2,8000,CERO PESOS,,,,1,,,,,,59941,2,1,2
