M_01,M_02,M_03,M_04,M_05,M_06,M_07,M_08,M_08_VALOR,M_08_TEXTO,M_09_A,M_09_B,M_09_C,M_09_D,M_09_E,M_09_F,M_09_G,M_09_H,M_09_I,M_10_A,M_10_B,M_10_C,M_10_D,M_10_E,M_10_F,M_10_G,M_10_H,M_10_I,M_10_J,M_10_K,M_10_L,M_10_M,M_10_N,M_10_O,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25444,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25461,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25463,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25483,1,1,1
2,1,2,2,,,3,2,,,,,,1,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25552,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25699,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25808,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26081,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26720,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26840,1,1,1
3,1,2,2,,,1,2,,,,,,1,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,27342,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27546,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27716,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27717,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27872,4,1,4
3,1,2,2,,,1,2,,,,,,1,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,27938,1,1,1
3,1,2,2,,,1,1,1000,MIL PESOS,,,1,,,,,,,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,28161,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28303,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28370,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28781,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28972,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29188,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29421,1,1,1
