SEXO,EDAD,PARENTESCO,PADRE,MADRE,CONSENTIMIENTO,RESULTADO,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C
2,15,3,1,1,1,1,22490,3,1,3,588.4547926031605
2,49,1,2,2,1,1,22491,1,1,1,289.7512765130236
2,62,8,3,3,1,1,22492,2,1,2,390.1694973604172
1,62,1,3,3,1,1,22493,1,1,1,209.8789636161848
1,48,1,3,2,1,1,22494,1,1,1,1771.871822390393
2,50,1,3,3,1,1,22496,1,1,1,101.9338366734058
2,27,2,2,2,1,1,22497,2,1,2,505.2513509566235
2,47,2,2,2,1,1,22498,2,1,2,114.9659073491477
2,31,1,3,2,1,1,22499,1,1,1,28.18721039733468
1,40,1,2,2,1,1,22500,1,1,1,764.9091565389848
2,40,2,2,2,1,1,22501,2,1,2,107.3720678455431
2,65,1,3,3,1,1,22502,1,1,1,290.6922149609796
2,64,1,2,2,1,1,22503,1,1,1,1184.098447543236
2,43,3,3,1,1,1,22504,2,1,2,356.1197516747856
2,32,2,2,2,1,1,22505,2,1,2,1180.878588951257
1,65,1,3,2,1,1,22506,1,1,1,1771.871822390393
1,49,1,2,2,1,1,22507,1,1,1,619.1882921081873
1,29,7,2,2,1,1,22508,3,1,3,79.82108626198084
2,59,1,3,3,1,1,22509,1,1,1,657.8324708573534
1,24,3,1,1,1,1,22510,4,1,4,612.2303696340745
2,60,1,3,3,1,1,22511,1,1,1,82.07365570802422
2,45,2,2,2,1,1,22512,2,1,2,965.8375883767454
2,52,1,3,3,1,1,22513,1,1,1,206.223270229588
1,38,1,2,2,1,1,22514,1,1,1,1729.389761349722
2,50,6,3,3,1,1,22515,2,1,2,363.2335329341317
2,31,3,1,1,1,1,22516,3,1,3,153.1050691437645
1,32,1,2,2,1,1,22517,1,1,1,139.0459441686139
1,35,4,2,2,1,1,22518,9,1,9,829.3262572909105
1,15,3,1,1,1,1,22519,4,1,4,538.4554465553564
1,58,1,2,2,1,1,22520,1,1,1,699.596545387283
2,57,2,3,3,1,1,22521,2,1,2,724.3781912825592
1,19,3,2,1,1,1,22522,2,1,2,1966.222769425587
2,50,7,3,3,1,1,22523,2,1,2,526.5977745854425
2,42,1,2,2,1,1,22524,1,1,1,1489.619856825083
1,23,3,1,1,1,1,22525,4,1,4,366.1023380645366
1,59,1,3,3,1,1,22526,1,1,1,510.5536912751678
1,15,3,1,1,1,1,22527,3,1,3,1339.141291853693
2,48,2,3,3,1,1,22528,2,1,2,43.14758676628932
2,45,2,2,2,1,1,22529,2,1,2,309.0680282805586
1,45,1,2,2,1,1,22530,1,1,1,296.0371614770474
1,36,3,2,1,1,1,22531,2,1,2,138.2210428818184
1,18,3,2,1,1,1,22533,2,1,2,244.8921478536298
2,25,5,3,1,1,1,22534,5,1,5,453.8853503184714
2,40,1,3,3,1,1,22535,1,1,1,136.422163966167
2,48,2,2,2,1,1,22536,2,1,2,772.6700707013964
1,13,5,2,1,1,1,22538,4,1,4,736.6365280289332
2,39,2,2,3,1,1,22539,2,1,2,97.61097076867557
2,17,3,2,1,1,1,22541,3,1,3,4545.764550407755
2,52,2,3,2,1,1,22542,2,1,2,326.1882773548984
2,44,2,2,2,1,1,22543,2,1,2,333.358407844223
2,65,6,3,3,1,1,22545,2,1,2,811.3035742364663
2,24,1,2,2,1,1,22546,1,1,1,110.6341018973373
1,32,3,1,1,1,1,22547,3,1,3,1004.495894594665
1,51,1,3,3,1,1,22548,1,1,1,1255.446362209927
2,64,2,3,3,1,1,22549,2,1,2,189.4527577200539
2,35,1,2,2,1,1,22551,1,1,1,498.5611731462777
2,42,1,2,2,1,1,22552,1,1,1,272.844327932334
1,27,3,2,1,1,1,22553,2,1,2,248.9262358486839
2,51,2,3,2,1,1,22555,2,1,2,1315.664941714707
1,49,1,2,1,1,1,22556,1,1,1,418.4821207366422
1,42,3,2,1,1,1,22557,2,1,2,170.2448130350662
2,47,2,2,2,1,1,22558,2,1,2,159.6035143050237
2,31,2,2,2,1,1,22559,2,1,2,366.8523676880223
2,65,1,3,3,1,1,22560,1,1,1,153.5910175874207
2,63,2,3,3,1,1,22561,2,1,2,261.4397981413096
1,52,1,3,3,1,1,22562,1,1,1,248.0387751827639
2,60,1,3,3,1,1,22563,1,1,1,110.4283230628562
2,40,3,2,1,1,1,22564,2,1,2,2234.429785237625
2,25,2,2,2,1,1,22565,2,1,2,590.3920016984811
1,13,3,1,1,1,1,22566,4,1,4,623.8803767290723
2,26,2,2,2,1,1,22567,2,1,2,915.8303311006977
2,22,3,1,1,1,1,22568,3,1,3,737.5606793155821
2,36,2,3,3,1,1,22569,2,1,2,53.68603392277157
2,43,1,2,2,1,1,22570,1,1,1,356.1197516747856
2,26,1,2,2,1,1,22571,1,1,1,102.775817893829
2,63,1,3,2,1,1,22572,1,1,1,592.049223771618
1,24,2,2,2,1,1,22573,2,1,2,289.4179929179261
2,59,2,3,3,1,1,22574,2,1,2,1858.218914667438
2,29,2,2,1,1,1,22575,2,1,2,1669.844393874162
1,40,1,2,2,1,1,22576,1,1,1,428.2835944585043
2,53,1,3,3,1,1,22577,1,1,1,313.7277577695716
1,34,1,2,2,1,1,22578,1,1,1,1279.09732609536
2,54,1,3,3,1,1,22579,1,1,1,482.9187941883728
1,28,2,2,2,1,1,22580,2,1,2,398.9829671306376
2,18,3,1,1,1,1,22581,4,1,4,299.2989935608564
2,38,2,2,2,1,1,22582,2,1,2,484.6518390966012
2,24,1,2,1,1,1,22583,1,1,1,55.84889643463497
1,31,1,3,2,1,1,22584,1,1,1,467.2241672975018
2,38,1,2,2,1,1,22585,1,1,1,91.31373869818285
1,37,1,2,2,1,1,22586,1,1,1,297.3811156564255
2,38,1,2,2,1,1,22587,1,1,1,413.0814907791831
1,19,3,2,1,1,1,22588,3,1,3,306.6739782587658
2,31,2,2,2,1,1,22589,2,1,2,327.02293502859
2,16,3,2,1,1,1,22590,3,1,3,695.4465730764624
1,30,1,2,2,1,1,22591,1,1,1,168.2120182679946
2,45,3,1,1,1,1,22593,3,1,3,153.5910175874207
1,39,1,2,2,1,1,22594,1,1,1,427.3356966215486
2,46,3,3,1,1,1,22595,2,1,2,230.3694011071968
