H_01,H_02_A,H_02_B,H_02_C,H_02_D,H_02_E,H_02_F,H_02_G,H_02_H,H_02_I,H_03,H_04,H_05,H_06_A,H_06_B,H_06_C,H_06_D,H_06_E,H_06_F,H_06_G,H_06_H,H_06_I,H_06_J,H_06_K,H_07,H_07_A,H_07_B,H_07_C,H_07_D,H_07_E,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,10627,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,10643,4,1,4
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,10689,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,10696,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,10746,1,1,1
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,10824,1,1,1
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,10849,1,1,1
3,,,,1,,,,,,1,1,2,1,,1,,,,,,,,,1,1,,,,,10882,1,1,1
3,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,10889,2,1,2
1,,,,1,,,,,,1,1,2,1,,,,,,,,,,,2,,,,,,10893,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,10936,2,1,2
2,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,10944,3,1,3
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,11082,3,1,3
1,,,1,,,,,,,1,1,1,,,,,,1,,,,,,2,,,,,,11087,2,1,2
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,11121,3,1,3
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,11213,1,1,1
2,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,11300,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,11380,3,1,3
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,11467,1,1,1
1,,,,1,,,,,,1,1,3,,,1,,,,,,,,,2,,,,,,11487,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,11521,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,11567,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,11621,5,1,5
2,,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,11676,3,1,3
2,,1,,,,,,,,1,1,3,,,,,,,,,,,1,1,,,,,1,11706,4,1,4
1,,,,,1,,,,,1,1,1,,,,,,,,,,,1,2,,,,,,11763,2,1,2
1,,,,1,,,,,,1,1,3,,,,,,,,,,,1,2,,,,,,11785,4,1,4
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,11795,3,1,3
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,11869,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,11881,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,11886,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,11966,2,1,2
3,1,,,,,,,,,1,1,4,1,,,,,,,,,,,2,,,,,,11989,1,1,1
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,11995,1,1,1
1,,,,,1,,,,,1,1,30,,,,,,,,,,,1,2,,,,,,12177,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,12215,1,1,1
3,,,,,1,,,,,1,1,20,,,,,,,,,,,1,2,,,,,,12270,2,1,2
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,12440,3,1,3
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,12447,2,1,2
2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,12494,4,1,4
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,12502,1,1,1
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,12508,2,1,2
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,12561,2,1,2
3,,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,12585,2,1,2
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,12592,2,1,2
3,,,,,1,,,,,1,1,30,,,,,,,,,,,1,2,,,,,,12681,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,12734,2,1,2
3,,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,12783,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,12809,1,1,1
2,,,1,,,,,,,1,1,99,,,,,,,,,,,1,2,,,,,,12822,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,12889,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,12938,2,1,2
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,13129,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,13133,2,1,2
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,13191,2,1,2
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,13211,2,1,2
3,,1,,,,,,,,1,1,30,,,1,,,,1,,,,,2,,,,,,13250,1,1,1
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,13257,4,1,4
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,13286,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,13290,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,13378,2,1,2
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,13425,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,13437,1,1,1
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,13467,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,13483,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,13522,3,1,3
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,13821,3,1,3
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,13824,1,1,1
3,,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,13899,2,1,2
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,13977,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,14007,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,14032,1,1,1
3,,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,14135,3,1,3
1,,1,,,,,,,,1,1,2,,,1,,,,,,,,,2,,,,,,14137,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,14219,3,1,3
3,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,14259,3,1,3
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,14327,1,1,1
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,14369,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,14559,5,1,5
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,14567,4,1,4
3,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,14682,4,1,4
2,,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,14702,2,1,2
2,,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,14740,4,1,4
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,14863,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,14871,2,1,2
3,,,1,,,,,,,1,1,1,,,,,,,,,,,1,2,,,,,,14998,2,1,2
