S_01,S_02_A,S_02_A_01,S_02_B,S_02_B_01,S_02_C,S_02_C_01,S_02_D,S_02_D_01,S_02_E,S_02_E_01,S_02_F,S_02_F_01,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
1,2,,2,,2,,2,,2,,2,,687,2,1,2
2,,,,,,,,,,,,,688,2,1,2
1,2,,2,,2,,2,,2,,2,,689,6,1,6
1,1,1,2,,2,,2,,2,,2,,690,1,1,1
1,2,,2,,2,,2,,2,,2,,691,1,1,1
2,,,,,,,,,,,,,695,4,1,4
1,2,,2,,2,,2,,2,,2,,696,2,1,2
1,2,,2,,2,,2,,2,,2,,697,1,1,1
1,2,,2,,2,,2,,2,,2,,700,1,1,1
2,,,,,,,,,,,,,701,3,1,3
1,2,,1,3,2,,2,,2,,2,,706,2,1,2
1,1,1,1,2,2,,2,,2,,2,,707,2,1,2
2,,,,,,,,,,,,,709,4,1,4
1,2,,2,,2,,2,,2,,2,,710,2,1,2
1,2,,2,,2,,2,,2,,2,,713,2,1,2
1,2,,2,,2,,2,,2,,2,,715,1,1,1
1,2,,2,,2,,2,,2,,2,,716,2,1,2
1,2,,2,,2,,2,,2,,2,,717,2,1,2
1,2,,2,,2,,2,,2,,2,,725,3,1,3
1,2,,2,,2,,2,,2,,2,,726,2,1,2
1,2,,2,,2,,2,,2,,2,,728,1,1,1
2,,,,,,,,,,,,,731,2,1,2
1,2,,2,,2,,2,,2,,2,,732,2,1,2
2,,,,,,,,,,,,,733,3,1,3
2,,,,,,,,,,,,,734,4,1,4
1,2,,2,,2,,2,,2,,2,,735,2,1,2
2,,,,,,,,,,,,,737,3,1,3
1,2,,2,,2,,2,,2,,2,,740,1,1,1
1,2,,2,,2,,2,,2,,2,,741,2,1,2
1,2,,2,,2,,2,,2,,2,,743,1,1,1
1,2,,2,,2,,2,,2,,2,,744,2,1,2
1,1,1,2,,2,,2,,2,,2,,745,4,1,4
1,2,,2,,2,,2,,2,,2,,746,1,1,1
1,2,,2,,2,,2,,2,,2,,750,1,1,1
2,,,,,,,,,,,,,751,4,1,4
1,2,,2,,2,,2,,2,,2,,754,6,1,6
1,2,,2,,2,,2,,2,,2,,755,1,1,1
1,1,3,2,,2,,2,,2,,2,,756,1,1,1
2,,,,,,,,,,,,,759,1,1,1
1,2,,2,,2,,2,,2,,2,,763,1,1,1
1,2,,2,,2,,2,,2,,2,,765,2,1,2
1,2,,2,,2,,2,,2,,2,,769,1,1,1
1,2,,2,,2,,2,,2,,2,,770,2,1,2
1,2,,1,3,2,,2,,2,,2,,771,1,1,1
2,,,,,,,,,,,,,773,2,1,2
1,2,,2,,2,,2,,2,,2,,775,2,1,2
1,2,,2,,2,,2,,2,,2,,777,1,1,1
1,2,,2,,2,,2,,2,,2,,781,2,1,2
1,2,,2,,2,,2,,2,,2,,782,2,1,2
1,2,,2,,2,,2,,2,,2,,783,1,1,1
1,2,,2,,2,,2,,2,,2,,785,1,1,1
1,1,1,2,,2,,2,,2,,2,,787,1,1,1
1,2,,2,,2,,2,,2,,2,,788,1,1,1
2,,,,,,,,,,,,,793,3,1,3
1,2,,2,,2,,2,,2,,2,,794,2,1,2
1,2,,1,3,2,,2,,2,,2,,795,2,1,2
1,2,,2,,2,,2,,2,,2,,796,2,1,2
1,2,,2,,2,,2,,2,,2,,798,1,1,1
2,,,,,,,,,,,,,799,2,1,2
1,2,,2,,2,,2,,2,,2,,800,2,1,2
1,2,,2,,2,,2,,2,,2,,801,1,1,1
2,,,,,,,,,,,,,802,3,1,3
1,2,,2,,2,,2,,2,,2,,803,2,1,2
1,2,,2,,2,,2,,2,,2,,805,1,1,1
2,,,,,,,,,,,,,806,2,1,2
1,2,,2,,2,,2,,2,,2,,807,1,1,1
2,,,,,,,,,,,,,809,3,1,3
2,,,,,,,,,,,,,810,1,1,1
2,,,,,,,,,,,,,811,2,1,2
2,,,,,,,,,,,,,813,1,1,1
1,2,,2,,2,,2,,2,,2,,814,3,1,3
1,2,,2,,2,,2,,2,,2,,815,2,1,2
2,,,,,,,,,,,,,817,1,1,1
1,2,,2,,2,,2,,2,,2,,820,1,1,1
1,2,,2,,2,,2,,2,,2,,821,1,1,1
1,1,1,1,1,2,,2,,2,,2,,823,1,1,1
1,2,,2,,2,,2,,2,,2,,824,2,1,2
2,,,,,,,,,,,,,825,3,1,3
1,2,,1,3,2,,2,,2,,2,,826,2,1,2
1,2,,2,,2,,2,,2,,2,,828,2,1,2
2,,,,,,,,,,,,,830,1,1,1
1,2,,2,,2,,2,,2,,2,,831,2,1,2
2,,,,,,,,,,,,,832,3,1,3
1,2,,2,,2,,2,,2,,2,,833,2,1,2
1,2,,2,,2,,2,,2,,2,,834,2,1,2
1,2,,2,,2,,2,,2,,2,,838,2,1,2
1,2,,2,,2,,2,,2,,2,,840,1,1,1
1,2,,2,,2,,2,,2,,2,,841,5,1,5
1,2,,2,,2,,2,,2,,2,,843,3,1,3
2,,,,,,,,,,,,,844,3,1,3
1,2,,2,,2,,2,,2,,2,,849,1,1,1
2,,,,,,,,,,,,,851,3,1,3
1,2,,2,,2,,2,,2,,2,,853,2,1,2
1,2,,1,3,2,,2,,2,,2,,854,2,1,2
1,2,,2,,2,,2,,2,,2,,855,1,1,1
1,2,,2,,2,,2,,2,,2,,856,2,1,2
1,2,,2,,2,,2,,2,,2,,857,5,1,5
1,2,,2,,2,,2,,2,,2,,858,2,1,2
1,2,,2,,2,,2,,2,,2,,859,1,1,1
2,,,,,,,,,,,,,864,1,1,1
2,,,,,,,,,,,,,868,2,1,2
1,2,,2,,2,,2,,2,,2,,869,1,1,1
2,,,,,,,,,,,,,872,5,1,5
1,2,,1,1,2,,2,,2,,2,,874,2,1,2
1,2,,1,3,2,,2,,2,,2,,877,3,1,3
2,,,,,,,,,,,,,878,3,1,3
1,2,,2,,2,,2,,2,,2,,879,2,1,2
1,2,,2,,2,,2,,2,,2,,880,1,1,1
1,2,,2,,2,,2,,2,,2,,881,2,1,2
2,,,,,,,,,,,,,883,3,1,3
1,2,,2,,2,,2,,2,,2,,884,1,1,1
1,2,,2,,2,,2,,2,,2,,885,1,1,1
1,2,,2,,2,,2,,2,,2,,886,2,1,2
2,,,,,,,,,,,,,888,3,1,3
