P_01,P_02,P_03,P_04,P_05,P_06,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
2,,2,,2,,12889,2,1,2
,,2,,,,12898,4,1,4
2,,,,,,12905,3,1,3
,,2,,2,,12944,3,1,3
,,2,,,,13000,2,1,2
,,1,2,,,13002,2,1,2
,,2,,2,,13015,2,1,2
,,,,2,,13113,2,1,2
1,1,,,,,13139,2,1,2
,,2,,2,,13168,1,1,1
2,,,,1,2,13425,2,1,2
2,,,,,,13433,1,1,1
2,,,,,,13483,1,1,1
,,,,2,,13582,1,1,1
,,,,1,2,13665,1,1,1
2,,,,2,,13671,1,1,1
,,,,1,1,13737,2,1,2
1,1,,,1,2,13843,4,1,4
,,,,1,2,13863,1,1,1
,,1,2,,,13926,2,1,2
,,,,2,,13977,1,1,1
,,,,2,,13989,2,1,2
,,1,1,2,,14007,1,1,1
1,2,,,,,14039,4,1,4
2,,,,,,14047,3,1,3
1,1,,,,,14077,3,1,3
1,2,,,,,14135,3,1,3
,,,,2,,14142,1,1,1
,,2,,1,2,14327,1,1,1
,,,,2,,14330,1,1,1
,,2,,,,14348,1,1,1
2,,,,,,14366,2,1,2
,,,,1,2,14439,1,1,1
,,,,2,,14527,2,1,2
,,,,1,2,14567,4,1,4
,,2,,,,14591,3,1,3
,,,,1,2,14732,1,1,1
,,2,,,,14740,4,1,4
,,,,2,,14759,2,1,2
,,,,2,,14818,1,1,1
,,,,2,,14825,1,1,1
,,,,2,,14829,2,1,2
,,,,2,,14840,1,1,1
,,,,2,,14842,1,1,1
,,,,2,,14869,6,1,6
2,,,,,,14871,2,1,2
2,,,,2,,14909,2,1,2
,,,,2,,14997,2,1,2
2,,,,,,15044,1,1,1
,,,,2,,15054,2,1,2
,,1,2,,,15059,5,1,5
,,2,,,,15069,2,1,2
,,2,,2,,15087,1,1,1
,,2,,,,15155,3,1,3
1,2,,,,,15278,2,1,2
,,1,2,,,15289,3,1,3
2,,2,,,,15299,1,1,1
2,,,,2,,15307,3,1,3
,,2,,2,,15318,1,1,1
,,,,1,2,15333,4,1,4
2,,,,2,,15341,1,1,1
,,2,,,,15362,1,1,1
,,,,2,,15438,1,1,1
,,,,2,,15497,2,1,2
2,,,,,,15516,1,1,1
2,,,,,,15520,1,1,1
,,,,1,2,15595,1,1,1
,,,,2,,15629,1,1,1
2,,,,,,15631,2,1,2
,,,,2,,15698,1,1,1
,,,,2,,15736,2,1,2
,,,,2,,15740,2,1,2
,,,,2,,15806,1,1,1
1,2,,,,,15917,3,1,3
,,,,2,,15921,3,1,3
,,,,1,2,15936,3,1,3
,,,,2,,16033,1,1,1
,,1,2,,,16057,3,1,3
,,,,2,,16125,1,1,1
2,,,,,,16144,2,1,2
,,,,2,,16147,1,1,1
2,,,,,,16212,1,1,1
,,1,2,1,2,16250,1,1,1
1,1,,,,,16266,2,1,2
,,2,,,,16371,4,1,4
2,,,,2,,16428,1,1,1
,,,,2,,16464,2,1,2
,,,,2,,16471,2,1,2
2,,,,,,16525,2,1,2
,,2,,2,,16532,1,1,1
,,2,,,,16536,3,1,3
,,2,,,,16629,3,1,3
,,2,,2,,16633,3,1,3
,,,,1,2,16707,3,1,3
,,1,1,1,1,16728,2,1,2
,,,,2,,16836,2,1,2
,,,,2,,16850,3,1,3
,,,,2,,16886,1,1,1
,,,,2,,16893,1,1,1
