R_01,R_02,R_03,R_04,R_05,R_06,R_07,R_08_A,R_08_B,R_08_C,R_08_D,R_09,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
2,,0,,1,1,9,9,2,9,9,2,418,1,1,1
2,,0,,2,2,2,9,2,9,9,2,423,2,1,2
2,,0,,2,1,2,9,2,9,9,2,424,3,1,3
2,,0,,1,1,9,9,2,9,9,1,425,1,1,1
2,,2,2,2,1,2,9,9,9,9,2,426,2,1,2
2,,0,,2,1,2,9,9,9,9,2,427,1,1,1
1,1,0,,2,2,2,9,2,9,9,1,429,3,1,3
2,,0,,1,1,2,9,2,9,9,2,432,3,1,3
2,,0,,1,2,2,2,9,9,9,2,434,2,1,2
2,,0,,2,2,2,9,2,9,9,2,435,1,1,1
2,,0,,1,1,1,9,2,9,9,2,436,1,1,1
2,,0,,1,1,1,9,2,9,9,2,438,2,1,2
2,,0,,1,2,1,9,9,9,9,2,439,2,1,2
2,,0,,1,1,2,9,9,9,9,2,443,2,1,2
2,,0,,1,2,2,2,2,9,9,2,444,1,1,1
2,,0,,1,1,1,9,9,9,9,2,445,1,1,1
2,,2,2,1,1,1,9,9,9,9,2,446,1,1,1
2,,8,1,1,2,2,9,2,9,9,1,448,3,1,3
2,,0,,1,1,1,9,9,9,9,9,449,1,1,1
2,,0,,2,2,2,9,9,9,9,2,450,1,1,1
1,2,1,2,2,2,2,9,2,9,9,9,451,1,1,1
2,,0,,2,2,9,9,9,9,9,2,452,1,1,1
2,,30,2,2,2,9,9,9,9,9,2,454,2,1,2
2,,0,,2,2,2,1,9,9,9,2,456,1,1,1
2,,0,,2,2,2,9,9,9,9,2,457,4,1,4
2,,3,2,2,2,2,9,1,9,9,2,458,1,1,1
2,,0,,2,2,2,9,9,9,9,2,460,1,1,1
2,,0,,2,2,2,9,9,9,9,2,463,2,1,2
2,,0,,1,1,9,9,9,9,9,2,465,2,1,2
2,,0,,1,2,9,9,2,9,9,2,469,1,1,1
2,,0,,2,1,1,9,2,9,9,2,471,2,1,2
2,,0,,1,1,1,9,2,9,9,2,473,1,1,1
2,,0,,1,1,2,2,2,9,9,2,477,3,1,3
2,,0,,1,2,2,9,9,9,9,2,478,1,1,1
2,,0,,2,2,2,9,9,9,9,2,480,2,1,2
2,,0,,2,2,2,9,9,9,9,9,481,1,1,1
2,,1,2,2,2,1,9,2,9,9,2,482,1,1,1
1,2,0,,2,2,2,9,9,9,9,2,484,2,1,2
2,,0,,1,1,9,9,9,9,9,2,487,1,1,1
2,,0,,2,2,2,9,2,9,9,9,489,1,1,1
2,,0,,2,2,2,9,9,9,9,2,490,2,1,2
2,,0,,2,2,2,9,2,9,9,9,493,2,1,2
2,,0,,2,2,2,9,9,9,9,2,501,1,1,1
2,,0,,1,1,9,9,9,9,9,2,505,4,1,4
2,,1,2,1,1,2,9,2,9,9,2,506,3,1,3
1,2,7,2,1,1,2,9,9,9,9,2,507,1,1,1
2,,0,,1,1,2,9,2,9,9,2,508,1,1,1
2,,0,,2,1,2,2,1,9,9,1,509,3,1,3
2,,0,,2,2,2,9,2,9,9,2,512,1,1,1
2,,0,,2,2,2,9,2,9,9,9,513,3,1,3
2,,2,2,2,2,2,9,2,9,9,2,514,1,1,1
2,,0,,1,1,9,9,9,9,9,2,515,2,1,2
2,,0,,2,2,2,9,2,9,9,2,516,1,1,1
2,,0,,2,2,2,9,2,9,9,2,517,2,1,2
2,,0,,2,2,2,9,1,9,9,2,522,2,1,2
2,,0,,2,2,2,9,9,9,9,2,523,1,1,1
2,,0,,2,2,2,9,9,9,9,2,526,4,1,4
2,,3,2,2,2,2,9,9,9,9,2,527,1,1,1
2,,0,,2,2,2,9,2,9,9,2,528,1,1,1
2,,0,,9,1,2,9,2,9,9,2,529,4,1,4
2,,7,2,1,1,2,9,2,9,9,2,533,3,1,3
2,,0,,2,2,2,1,1,1,1,2,535,1,1,1
2,,0,,2,2,2,9,9,9,9,2,536,6,1,6
2,,5,2,1,2,2,9,9,9,9,2,537,1,1,1
2,,0,,1,1,2,9,2,9,9,2,539,1,1,1
2,,0,,1,1,2,9,2,9,9,2,540,2,1,2
2,,0,,1,1,9,9,2,9,9,2,541,4,1,4
2,,0,,1,1,2,9,2,9,9,2,543,2,1,2
2,,1,2,2,2,2,9,2,9,2,2,544,1,1,1
2,,0,,2,2,2,9,2,9,9,2,545,2,1,2
2,,0,,2,2,2,9,2,9,9,2,546,1,1,1
2,,0,,1,2,2,9,9,9,9,2,549,1,1,1
2,,0,,1,2,2,9,2,9,9,2,551,2,1,2
2,,0,,1,2,2,9,2,9,9,2,552,1,1,1
