K_01_A,K_01_B,K_01_C,K_01_D,K_02,K_03,K_04,K_05,K_06,K_07,K_08,K_09,K_09_VALOR,K_09_TEXTO,K_10_A,K_10_B,K_10_C,K_10_D,K_10_E,K_10_F,K_10_G,K_10_H,K_10_I,K_11,K_11_A,K_11_B,K_11_C,K_11_D,K_11_E,K_12_A,K_12_B,K_12_C,K_12_D,K_12_E,K_12_F,K_12_G,K_12_H,K_12_I,K_12_J,K_12_K,K_12_L,K_12_M,K_12_N,K_12_O,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47577,3,1,3
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47595,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47607,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47614,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47615,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47619,5,1,5
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47623,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47629,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47654,1,1,1
1,1,,,9,1,4,1,10,150000,10,1,15000,QUINCE MIL PESOS,,1,,,,,1,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,47663,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47669,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47707,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47716,4,1,4
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47743,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47773,2,1,2
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47776,1,1,1
,1,,,3,1,5,1,30,50000,40,2,,,,,,1,,,,,,2,,,,,,1,1,2,1,2,2,2,1,2,2,2,1,2,1,1,47782,2,1,2
,1,,,3,1,4,1,22,15000,25,2,,,,,,1,1,1,,,,1,1,,,,,1,2,2,1,2,1,1,2,1,1,2,2,1,2,2,47812,3,1,3
,,1,,3,1,5,1,30,70000,30,1,2500,DOS MIL QUINIENTOS,,,1,,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,47830,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47831,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47858,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47859,1,1,1
1,1,1,1,3,1,2,2,,,4,1,2500,dos mil quinientos pesos,,,,,,1,,,,1,1,,,,,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,47860,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47891,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47913,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47945,2,1,2
,,1,,3,1,3,1,1,98,1,2,,,,,,1,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,47967,2,1,2
1,,,,1,1,3,2,,,1,2,,,,,,1,,,,,,2,,,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,47968,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47970,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47973,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47988,1,1,1
,1,,,3,1,3,1,2,98,2,1,1000,MIL PESOS,,,,1,,,,,,2,,,,,,2,2,1,1,2,1,2,2,2,2,1,2,1,2,2,48030,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48039,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48049,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48077,3,1,3
,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48080,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48094,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48102,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48105,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48127,1,1,1
1,,,,3,1,3,1,8,8000,8,1,1000,MIL PESOS,,,1,,,,,,,2,,,,,,2,2,2,1,2,1,1,2,1,1,1,2,2,2,1,48160,2,1,2
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48188,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48197,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48199,5,1,5
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48200,1,1,1
,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48211,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48219,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48228,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48232,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48244,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48260,1,1,1
1,1,,,3,1,5,1,30,80000,3,1,2000,DOS MIL PESOS,,1,1,1,1,,,,,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48296,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48362,4,1,4
1,,,,3,1,3,1,5,30000,2,1,5000,CINCO MIL,,,1,,,,,,,1,1,,,,,2,1,1,1,2,1,2,2,1,2,2,1,1,2,2,48363,2,1,2
1,,,,3,1,2,2,,,1,2,,,,,,1,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48370,2,1,2
1,,,,3,1,2,1,1,1000,1,2,,,,,,1,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,48380,3,1,3
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48382,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48383,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48384,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48385,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48389,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48390,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48393,1,1,1
1,,,,3,1,2,2,,,1,1,3500,TRES MIL QUINIENTOS PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48394,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48398,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48425,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48434,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48435,1,1,1
,1,,,3,1,5,1,30,20000,30,1,2000,DOS MIL PESOS,,,1,1,,,,,,2,,,,,,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,48449,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48482,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48536,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48543,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48546,2,1,2
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48610,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48624,1,1,1
,1,,,3,1,2,2,,,1,1,2000,DOS MIL PESOS,,,,,,1,,,,1,1,,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,48633,2,1,2
1,1,,,3,1,2,2,,,1,1,3000,TRES MIL PESOS,,,,1,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48648,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48658,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48663,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48670,1,1,1
1,1,,,1,1,5,1,30,160000,60,1,2000,DOS MIL,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,48672,4,1,4
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48679,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48680,3,1,3
1,1,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48686,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48696,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48709,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48711,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48723,1,1,1
1,1,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48729,1,1,1
1,,,,3,1,4,1,3,20000,4,1,5000,CINCO MIL,,,1,,,,,,,1,1,,,,,1,2,2,1,2,2,2,1,2,2,1,1,2,1,1,48739,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48741,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48754,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48779,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48789,1,1,1
1,1,,,3,1,5,1,30,100000,30,1,3000,TRES MIL PESOS,,,,1,1,1,1,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48793,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48798,1,1,1
1,1,,,3,1,2,1,1,98,1,1,2000,DOS MIL PESOS,,,,1,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48812,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48818,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48821,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48825,4,1,4
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48842,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48843,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48851,2,1,2
,1,,,3,1,3,2,,,2,1,2000,DOS MIL PESOS,,,,1,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48857,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48865,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48871,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48873,2,1,2
1,,,,3,1,2,2,,,2,2,,,,,,1,,,,,,2,,,,,,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,48878,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48889,1,1,1
,1,,,3,1,3,1,3,9000,3,1,3000,TRES MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,48899,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48900,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48910,2,1,2
,1,,,1,1,5,1,30,100000,30,1,2000,DOS MIL PESOS,,,,,1,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48917,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48924,3,1,3
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48929,2,1,2
1,,,,3,1,5,1,30,80000,30,1,2000,DOS MIL PESOS,,,,1,,,,,,2,,,,,,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,48935,1,1,1
,1,,,3,1,2,2,,,2,1,2000,DOS MIL PESOS,,,,,,,1,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48960,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48963,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48972,1,1,1
,1,,,1,1,3,1,2,6000,2,1,3000,TRES MIL PESOS,,,,1,,,,,,2,,,,,,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,48973,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48983,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48985,1,1,1
1,1,,,3,1,4,1,15,50000,7,1,2000,DOS MIL PESOS,,,1,,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,48988,1,1,1
,1,,,3,1,3,1,15,80000,12,1,2000,DOS MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,48990,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48998,3,1,3
1,1,,,3,1,3,1,5,120000,20,1,6000,SEIS MIL,,,,1,1,,,1,,1,1,,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,49000,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49027,3,1,3
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49037,2,1,2
1,1,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49055,3,1,3
,,1,,2,1,2,1,1,5000,1,1,5000,CINCO MIL PESOS,,,,,1,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,49061,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49067,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49068,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49094,1,1,1
1,1,1,,3,1,5,1,30,2000,1,1,1500,MIL QUINIENTOS,1,,,1,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,49102,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49108,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49109,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49113,4,1,4
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49124,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49128,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49130,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49141,3,1,3
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49146,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49148,1,1,1
1,1,,,3,1,5,1,30,180000,70,1,2000,DOS MIL,,,1,,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,49151,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49157,4,1,4
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49167,5,1,5
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49173,3,1,3
1,1,,,3,1,5,1,30,60000,30,1,2000,DOS MIL PESOS,,,1,,,,,,,2,,,,,,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,49176,1,1,1
,1,,,3,1,1,2,,,98,2,,,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,49196,2,1,2
1,1,,,1,1,4,1,10,12000,1,1,3000,TRES MIL PESOS,,,1,,,,,,,1,1,,,,,1,1,1,1,2,2,2,1,1,1,1,2,1,2,1,49232,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49233,1,1,1
,1,,,3,1,5,1,30,60000,30,1,2000,DOS MIL PESOS,,,1,,,,,,,2,,,,,,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,49235,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49245,1,1,1
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49250,4,1,4
1,1,,,3,1,2,2,,,1,1,3000,TRES MIL PESOS,,,1,,,,,,,1,1,,,,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,49254,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49259,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49261,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49263,1,1,1
1,,,,3,1,3,1,4,50000,4,1,4000,CUATRO MIL PESOS,,,,,,1,,,,2,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49266,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49279,2,1,2
1,1,,,3,1,5,1,30,60000,30,1,2000,DOS MIL PESOS,,,,1,,,,,,1,1,,,,,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,49312,4,1,4
,1,,,3,1,5,1,30,100000,30,2,,,,,1,,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,49316,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49318,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49329,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49340,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49345,1,1,1
1,,,,2,1,4,1,5,15000,6,1,2500,dos mil quinientos pesos,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,49351,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49358,1,1,1
,1,,,3,1,5,1,30,60000,60,1,1000,MIL PESOS,,,1,,,,,,,2,,,,,,1,2,2,2,2,2,2,2,1,2,2,1,2,1,1,49377,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49390,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49410,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49422,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49448,4,1,4
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49473,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49478,1,1,1
,1,,,3,1,4,1,3,10000,4,1,2000,DOS MIL PESOS,,,1,,,,,,,2,,,,,,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,49480,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49484,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49485,3,1,3
,1,,,2,1,2,2,,,1,1,3000,TRES MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,49491,2,1,2
,1,,,3,1,5,1,21,100000,20,1,4000,CUATRO MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,49503,2,1,2
1,1,,,3,1,2,2,,,10,1,5000,CINCO MIL PESOS,,,1,,1,,,,,2,,,,,,2,2,1,2,2,2,1,2,1,1,1,1,1,1,2,49510,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49512,1,1,1
,1,,,3,1,3,2,,,2,1,3000,TRES MIL PESOS,,,1,,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,49526,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49539,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49557,1,1,1
,1,,,3,1,2,2,,,1,1,10000,DIEZ MIL,,,,,,,1,,,1,1,,,,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,49558,3,1,3
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49565,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49567,1,1,1
1,,,,1,1,5,1,30,80000,20,1,3000,TRES MIL PESOS,,,1,,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,49583,3,1,3
1,1,1,,3,1,2,1,1,10000,2,1,3000,TRES MIL PESOS,,,1,1,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,49594,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49596,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49608,1,1,1
1,,,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49617,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49650,1,1,1
1,,,,3,1,5,1,30,60000,60,1,2000,DOS MIL,,,1,,,,,,,2,,,,,,2,1,1,1,2,1,2,1,1,2,1,2,1,1,1,49701,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49723,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49726,3,1,3
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49732,2,1,2
,1,,,3,1,9,2,,,1,2,,,,,,1,,,,,,9,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,49734,4,1,4
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49754,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49777,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49800,1,1,1
,1,,,2,1,3,2,,,1,1,3500,TRES MIL QUINIENTOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,49803,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49812,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49823,2,1,2
1,1,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49830,2,1,2
,1,,,3,1,4,1,10,20000,10,1,3000,TRES MIL PESOS,,,,1,,,,,,1,1,,,,,1,2,2,2,2,2,2,1,1,1,1,2,1,2,1,49851,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49874,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49878,1,1,1
