Q_01_A,Q_01_B,Q_01_C,Q_01_D,Q_02,Q_03,Q_04,Q_05_A,Q_05_B,Q_05_C,Q_05_D,Q_05_E,Q_05_F,Q_05_G,Q_05_H,Q_05_I,Q_05_J,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,Q_01_E
,1,,,2,,,2,1,2,4,4,1,1,4,4,4,564,3,1,3,
,,,2,2,,,2,1,1,1,1,1,1,1,1,1,565,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,567,6,1,6,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,569,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,570,5,1,5,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,571,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,572,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,574,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,576,4,1,4,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,578,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,581,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,585,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,588,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,594,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,595,2,1,2,
,,,2,2,,,1,1,1,1,2,1,1,2,1,1,597,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,602,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,603,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,610,3,1,3,
,,,2,2,,,1,1,1,1,2,1,1,1,1,1,614,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,615,3,1,3,
,,,2,2,,,1,1,1,1,2,1,1,2,1,1,616,2,1,2,
,,,2,9,,,1,1,1,1,1,1,1,1,1,1,617,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,618,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,621,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,624,1,1,1,
,,,2,2,,,2,1,1,1,1,1,1,1,1,3,626,1,1,1,
,,,2,9,,,1,1,1,1,1,1,1,1,1,1,628,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,629,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,630,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,632,4,1,4,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,634,1,1,1,
,,,2,2,,,1,1,1,2,1,1,1,1,1,1,638,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,640,4,1,4,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,644,4,1,4,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,645,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,646,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,650,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,651,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,652,9,1,9,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,655,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,659,4,1,4,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,660,2,1,2,
,,,2,2,,,3,1,1,1,1,1,1,2,1,4,662,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,666,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,668,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,669,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,670,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,671,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,672,1,1,1,
,,,2,9,,,1,1,1,1,1,1,1,1,1,1,676,6,1,6,
,,,2,2,,,1,1,1,1,1,1,1,1,1,2,678,5,1,5,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,680,1,1,1,
1,,,,1,4,,4,4,2,4,3,1,1,3,4,2,682,3,1,3,
,1,,,2,,,1,1,1,1,1,1,1,1,1,1,686,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,687,2,1,2,
,,,2,2,,,2,2,1,1,1,1,1,1,1,1,688,2,1,2,
,,,2,2,,,3,1,1,1,1,1,1,1,1,1,690,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,694,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,695,4,1,4,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,696,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,698,1,1,1,
,,,2,9,,,1,1,1,2,2,1,1,1,1,1,702,4,1,4,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,703,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,706,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,707,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,708,6,1,6,
,,,2,9,,,1,1,1,1,1,1,1,1,1,1,712,1,1,1,
,,,2,9,,,1,1,1,1,1,1,1,1,1,1,715,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,716,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,720,3,1,3,
