E_01,E_02,E_03,E_04,E_05,E_06,E_07,E_08,E_09,E_10,E_11,E_12,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
2,,,,,,,,,2,,,471,2,1,2
2,,,,,,,,,2,,,472,1,1,1
2,,,,,,,,,2,,,473,1,1,1
2,,,,,,,,,2,,,475,1,1,1
2,,,,,,,,,2,,,476,2,1,2
1,14,3,1,2,,,,,1,27,2,477,3,1,3
2,,,,,,,,,2,,,478,1,1,1
2,,,,,,,,,2,,,479,3,1,3
2,,,,,,,,,2,,,480,2,1,2
2,,,,,,,,,2,,,481,1,1,1
2,,,,,,,,,2,,,482,1,1,1
2,,,,,,,,,2,,,484,2,1,2
2,,,,,,,,,2,,,485,2,1,2
2,,,,,,,,,2,,,486,2,1,2
2,,,,,,,,,2,,,487,1,1,1
1,17,3,2,,,,,,2,,,488,2,1,2
2,,,,,,,,,2,,,489,1,1,1
2,,,,,,,,,2,,,490,2,1,2
2,,,,,,,,,2,,,492,1,1,1
2,,,,,,,,,2,,,493,2,1,2
1,35,3,2,,,,,,2,,,494,1,1,1
2,,,,,,,,,2,,,496,3,1,3
2,,,,,,,,,2,,,498,2,1,2
2,,,,,,,,,2,,,499,1,1,1
2,,,,,,,,,2,,,500,1,1,1
2,,,,,,,,,2,,,501,1,1,1
2,,,,,,,,,2,,,502,1,1,1
2,,,,,,,,,2,,,505,4,1,4
2,,,,,,,,,2,,,506,3,1,3
2,,,,,,,,,2,,,507,1,1,1
2,,,,,,,,,2,,,508,1,1,1
1,14,3,1,1,1,1,3,,1,25,2,509,3,1,3
2,,,,,,,,,2,,,510,3,1,3
2,,,,,,,,,2,,,511,1,1,1
2,,,,,,,,,2,,,512,1,1,1
1,18,2,2,,,,,,2,,,513,3,1,3
1,15,3,2,,,,,,2,,,514,1,1,1
1,11,3,2,,,,,,2,,,515,2,1,2
1,10,3,2,,,,,,2,,,516,1,1,1
2,,,,,,,,,2,,,517,2,1,2
1,17,3,2,,,,,,2,,,518,2,1,2
2,,,,,,,,,2,,,519,1,1,1
2,,,,,,,,,2,,,520,1,1,1
2,,,,,,,,,2,,,521,2,1,2
2,,,,,,,,,2,,,522,2,1,2
2,,,,,,,,,2,,,523,1,1,1
2,,,,,,,,,2,,,524,9,1,9
2,,,,,,,,,2,,,526,4,1,4
2,,,,,,,,,2,,,527,1,1,1
2,,,,,,,,,2,,,528,1,1,1
1,16,3,2,,,,,,2,,,529,4,1,4
2,,,,,,,,,2,,,530,1,1,1
2,,,,,,,,,2,,,531,2,1,2
2,,,,,,,,,2,,,532,1,1,1
2,,,,,,,,,2,,,533,3,1,3
2,,,,,,,,,2,,,534,2,1,2
1,15,3,1,1,3,1,3,,1,17,1,535,1,1,1
2,,,,,,,,,2,,,536,6,1,6
2,,,,,,,,,2,,,537,1,1,1
2,,,,,,,,,2,,,538,3,1,3
2,,,,,,,,,2,,,539,1,1,1
1,14,3,2,,,,,,2,,,540,2,1,2
1,14,3,2,,,,,,2,,,541,4,1,4
2,,,,,,,,,2,,,542,2,1,2
1,17,3,2,,,,,,2,,,543,2,1,2
2,,,,,,,,,2,,,544,1,1,1
2,,,,,,,,,2,,,545,2,1,2
2,,,,,,,,,2,,,546,1,1,1
2,,,,,,,,,2,,,547,2,1,2
2,,,,,,,,,2,,,548,2,1,2
2,,,,,,,,,2,,,549,1,1,1
1,13,3,2,,,,,,2,,,550,5,1,5
2,,,,,,,,,2,,,551,2,1,2
2,,,,,,,,,2,,,552,1,1,1
2,,,,,,,,,2,,,553,2,1,2
2,,,,,,,,,2,,,554,2,1,2
1,16,3,1,1,30,1,1,4,1,28,2,555,3,1,3
1,18,3,2,,,,,,2,,,556,1,1,1
2,,,,,,,,,2,,,557,2,1,2
1,18,3,2,,,,,,2,,,558,3,1,3
1,15,3,1,1,30,1,1,2,2,,,559,2,1,2
1,10,3,2,,,,,,2,,,560,1,1,1
1,25,3,2,,,,,,2,,,561,2,1,2
1,19,3,2,,,,,,2,,,562,1,1,1
1,13,3,1,2,,,,,1,14,2,563,3,1,3
2,,,,,,,,,2,,,564,3,1,3
2,,,,,,,,,2,,,565,2,1,2
2,,,,,,,,,2,,,566,2,1,2
2,,,,,,,,,2,,,567,6,1,6
2,,,,,,,,,2,,,568,2,1,2
1,40,3,2,,,,,,2,,,569,1,1,1
2,,,,,,,,,2,,,570,5,1,5
2,,,,,,,,,2,,,571,2,1,2
1,25,3,2,,,,,,2,,,572,1,1,1
2,,,,,,,,,2,,,573,2,1,2
2,,,,,,,,,2,,,574,1,1,1
2,,,,,,,,,2,,,575,5,1,5
1,15,3,2,,,,,,2,,,576,4,1,4
1,18,3,2,,,,,,2,,,577,1,1,1
1,16,3,2,,,,,,2,,,578,1,1,1
2,,,,,,,,,2,,,579,2,1,2
2,,,,,,,,,2,,,580,3,1,3
2,,,,,,,,,2,,,581,1,1,1
2,,,,,,,,,2,,,582,2,1,2
1,19,3,2,,,,,,2,,,583,2,1,2
2,,,,,,,,,2,,,584,3,1,3
2,,,,,,,,,2,,,585,1,1,1
2,,,,,,,,,2,,,586,1,1,1
2,,,,,,,,,2,,,587,2,1,2
2,,,,,,,,,2,,,588,2,1,2
2,,,,,,,,,2,,,589,2,1,2
2,,,,,,,,,2,,,590,1,1,1
2,,,,,,,,,2,,,591,3,1,3
2,,,,,,,,,2,,,592,2,1,2
2,,,,,,,,,2,,,594,1,1,1
2,,,,,,,,,2,,,595,2,1,2
1,22,3,2,,,,,,2,,,597,3,1,3
1,13,3,2,,,,,,2,,,598,1,1,1
2,,,,,,,,,2,,,599,2,1,2
1,22,3,2,,,,,,2,,,601,1,1,1
2,,,,,,,,,2,,,602,2,1,2
2,,,,,,,,,2,,,603,3,1,3
2,,,,,,,,,2,,,604,4,1,4
2,,,,,,,,,2,,,605,1,1,1
2,,,,,,,,,2,,,606,3,1,3
2,,,,,,,,,2,,,607,1,1,1
2,,,,,,,,,2,,,608,1,1,1
2,,,,,,,,,2,,,610,3,1,3
2,,,,,,,,,2,,,611,3,1,3
2,,,,,,,,,2,,,612,2,1,2
2,,,,,,,,,2,,,613,1,1,1
2,,,,,,,,,2,,,614,1,1,1
2,,,,,,,,,2,,,615,3,1,3
