D2_01,D2_03,D2_04,D2_05,D2_05_A,D2_06,D2_07,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
5,2,7,3,305,1,1,384,1,1,1
9,6,0,6,602,1,1,385,1,1,1
9,6,0,4,408,,,388,3,1,3
5,6,0,6,606,1,2,389,3,1,3
9,6,0,7,705,1,1,390,3,1,3
5,2,2,6,603,1,1,391,1,1,1
9,6,0,5,511,1,1,392,4,1,4
9,3,0,7,705,1,2,393,2,1,2
9,2,0,5,511,1,2,394,2,1,2
5,1,3,4,409,1,1,395,1,1,1
9,6,4,3,305,1,2,396,2,1,2
9,2,3,6,603,1,2,397,1,1,1
1,3,3,3,305,1,2,398,2,1,2
9,3,2,8,802,1,2,399,2,1,2
5,5,1,5,511,1,2,400,1,1,1
9,5,0,5,513,1,1,401,3,1,3
9,6,0,8,802,1,2,402,1,1,1
9,6,0,4,406,,,403,2,1,2
9,3,1,4,409,1,1,404,4,1,4
5,6,0,4,408,,,405,3,1,3
9,6,1,4,408,1,1,406,2,1,2
9,5,2,5,511,1,2,407,2,1,2
9,2,3,5,511,1,2,408,2,1,2
5,1,9,3,305,1,1,410,1,1,1
9,3,2,4,408,1,2,411,2,1,2
1,3,2,5,511,1,2,412,1,1,1
5,5,3,4,409,1,2,414,3,1,3
1,2,3,4,407,1,1,415,1,1,1
5,2,1,6,606,1,2,416,2,1,2
9,6,1,3,305,1,2,417,1,1,1
9,2,3,5,511,1,1,418,1,1,1
9,3,2,6,602,1,2,419,2,1,2
5,6,0,5,511,1,1,420,3,1,3
9,5,2,6,602,1,2,421,1,1,1
9,5,3,5,511,1,2,422,2,1,2
9,2,1,5,511,1,2,423,2,1,2
9,2,1,6,604,1,1,424,3,1,3
9,5,1,7,705,1,2,425,1,1,1
9,1,0,5,510,1,2,426,2,1,2
9,2,1,6,602,1,1,427,1,1,1
9,5,1,3,305,1,1,429,3,1,3
9,1,0,5,511,1,1,430,3,1,3
9,6,0,5,512,1,2,431,2,1,2
9,5,2,6,602,1,2,432,3,1,3
5,3,2,6,602,1,2,433,1,1,1
5,3,3,6,603,1,2,434,2,1,2
1,3,3,4,409,1,1,435,1,1,1
5,2,1,5,512,1,1,436,1,1,1
9,6,0,4,407,,,437,3,1,3
5,5,1,6,606,1,2,438,2,1,2
5,3,2,5,511,1,2,439,2,1,2
9,6,0,6,601,,,440,3,1,3
