Depmuni,TIPO,SERVICIO,ESTRATO,TOTAL_PERSONAS,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,ESTADO_ENCUESTA,RECO_DIC
15759,2,1,2,3,329,1,1,1,,0
81001,1,1,1,5,330,1,1,1,,0
70001,1,1,3,6,331,1,1,1,,0
18001,1,1,4,4,332,1,1,1,,0
08001,1,1,4,9,333,1,1,1,,0
15759,2,1,2,3,334,1,1,1,,0
70001,1,1,1,2,335,1,1,1,,0
52001,3,1,4,2,336,1,1,1,,0
70215,1,1,1,5,337,1,1,1,,0
15759,2,1,2,3,338,1,1,1,,0
27001,1,1,1,10,339,1,1,1,,0
18001,1,1,3,6,340,1,1,1,,0
18001,1,1,3,4,343,1,1,1,,0
18001,1,1,2,3,344,1,1,1,,0
18001,1,1,3,5,345,1,1,1,,0
18001,2,1,3,2,346,1,1,1,,0
18001,1,1,3,4,347,1,1,1,,0
18001,1,1,3,5,348,1,1,1,,0
18001,1,1,4,3,349,1,1,1,,0
18001,1,1,3,4,350,1,1,1,,0
18001,1,1,3,1,351,1,1,1,,0
52001,2,1,4,4,352,1,1,1,,0
73001,2,1,3,4,353,1,1,1,,0
23001,1,1,2,6,354,1,1,1,,0
15001,2,1,3,2,356,1,1,1,,0
13001,2,1,3,5,357,1,1,1,,0
52001,1,1,1,4,358,1,1,1,,0
15001,1,1,4,2,359,1,1,1,,0
15001,1,1,3,4,360,1,1,1,,0
47001,1,1,1,4,361,1,1,1,,0
23001,1,1,2,4,362,1,1,1,,0
15001,2,1,3,1,363,1,1,1,,0
23001,2,1,1,2,364,1,1,1,,0
44001,2,1,2,3,365,1,1,1,,0
13001,2,1,2,3,366,1,1,1,,0
52001,2,1,4,2,367,1,1,1,,0
13001,2,1,2,6,368,1,1,1,,0
15001,2,1,4,2,369,1,1,1,,0
95001,1,1,1,4,370,1,1,1,,0
68547,1,1,2,3,372,1,1,1,,0
15001,1,1,2,5,373,1,1,1,,0
52001,1,1,2,7,374,1,1,1,,0
23001,1,1,1,2,375,1,1,1,,0
13001,1,1,3,8,376,1,1,1,,0
47001,2,1,1,2,377,1,1,1,,0
52001,2,1,2,5,378,1,1,1,,0
15001,1,1,2,5,379,1,1,1,,0
52001,2,1,2,3,380,1,1,1,,0
23001,1,1,3,2,381,1,1,1,,0
23001,1,1,1,4,382,1,1,1,,0
70215,1,1,1,8,384,1,1,1,,0
95001,1,1,2,1,385,1,1,1,,0
23001,2,1,3,3,388,1,1,1,,0
13001,2,1,2,3,389,1,1,1,,0
15001,2,1,4,3,390,1,1,1,,0
13001,2,1,3,3,391,1,1,1,,0
13001,2,1,2,5,392,1,1,1,,0
15001,1,1,2,2,393,1,1,1,,0
