J_01,J_02,J_03,J_04,J_05_A,J_05_B,J_05_C,J_05_D,J_05_E,J_05_F,J_06_A,J_06_B,J_06_C,J_06_D,J_06_E,J_06_F,J_06_G,J_06_H,J_06_I,J_07,J_08,J_09,J_10,J_11,J_12,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
,,,,,,,,,,,,,,,,,,,,,,,2,,15704,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,15890,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,2,16206,4,1,4
,,,,,,,,,,,,,,,,,,,3,2,,,,,16319,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,16519,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,16532,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,16536,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,16603,1,1,1
,,,,,,,,,,,,,,,,,,,3,2,,,,,16629,3,1,3
,,,,,,,,,,,,,,,,,,,3,2,,,2,,16633,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,1,16728,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,2,,16822,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,16899,2,1,2
9,2,,,,,,,,,,,,,,,,,,2,1,3,9,2,,16970,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,2,,17060,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,17088,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,17149,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,17159,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,17176,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,17177,2,1,2
,,,,,,,,,,,,,,,,,,,3,2,,,2,,17197,2,1,2
,,,,,,,,,,,,,,,,,,,3,2,,,2,,17235,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,1,1,17252,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,17298,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,1,17300,3,1,3
,,,,,,,,,,,,,,,,,,,3,2,,,1,2,17378,3,1,3
,,,,,,,,,,,,,,,,,,,3,2,,,,,17446,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,1,2,17483,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,17581,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,17763,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,2,17889,2,1,2
3,1,2,2,1,,,,,,,,,,,1,,,,,,,,2,,17933,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,18151,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,18159,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,18217,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,18275,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,18540,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,18561,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,18652,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,18667,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,18668,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,2,,18735,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,18828,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,1,18880,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,1,2,18905,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,19021,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,19066,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,19075,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,19132,4,1,4
,,,,,,,,,,,,,,,,,,,3,2,,,2,,19181,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,19481,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,19544,2,1,2
3,2,,,,,,,,,,,,,,,,,,3,2,,,,,19597,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,19684,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,19716,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,19770,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,19812,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,20026,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,20050,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,20090,1,1,1
,,,,,,,,,,,,,,,,,,,3,2,,,2,,20171,1,1,1
,,,,,,,,,,,,,,,,,,,3,2,,,,,20439,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,20505,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,20560,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,2,,20812,2,1,2
,,,,,,,,,,,,,,,,,,,3,2,,,1,2,20948,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,20981,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,21001,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,21108,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,21242,3,1,3
2,1,4,2,1,,,,,,,,,,,,,1,,,,,,,,21767,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,1,2,21805,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,21830,1,1,1
,,,,,,,,,,,,,,,,,,,3,2,,,2,,21992,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,2,,22065,1,1,1
3,2,,,,,,,,,,,,,,,,,,3,2,,,,,22093,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,22149,2,1,2
3,1,2,1,1,,,,,,,,,,,1,,,,,,,,,,22232,1,1,1
1,1,2,1,,,1,,,,,,,1,,,,,,,,,,1,1,22308,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,22372,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,2,22388,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,1,1,22756,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,22758,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,22822,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,2,,22932,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,22953,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,22961,3,1,3
3,2,,,,,,,,,,,,,,,,,,3,2,,,2,,22980,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,23073,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,23144,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,23193,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,1,2,23215,5,1,5
