L_01,L_02,L_03,L_04,L_05,L_06,L_07,L_08,L_08_VALOR,L_08_TEXTO,L_09_A,L_09_B,L_09_C,L_09_D,L_09_E,L_09_F,L_09_G,L_09_H,L_09_I,L_10,L_10_A,L_10_B,L_11_A,L_11_B,L_11_C,L_11_D,L_11_E,L_11_F,L_11_G,L_11_H,L_11_I,L_11_J,L_11_K,L_11_L,L_11_M,L_11_N,L_11_O,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5562,2,1,2
3,1,3,1,2,50000,10,1,5000,CINCO MIL PESOS,,,1,,,,,,,2,,,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5611,1,1,1
3,1,2,2,,,01,1,10000,DIEZ MIL PESOS,,,,,,,1,,,2,,,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,5737,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5764,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5875,2,1,2
9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5876,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5931,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5937,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5967,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5974,5,1,5
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6020,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6040,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6093,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6181,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6224,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6287,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6296,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6620,2,1,2
1,1,4,1,15,50000,20,1,4000,CUATRO MIL,,,1,,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6622,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6623,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6679,1,1,1
3,1,3,1,2,10000,02,1,5000,CINCO MIL PESOS,,,1,,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6707,2,1,2
3,1,3,2,,,20,1,5000,cinco mil pesos,,1,,,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6726,3,1,3
3,1,4,1,3,30000,04,1,10000,DIEZ MIL PESOS,,,,1,,,,,,2,,,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,6849,5,1,5
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7026,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7089,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7162,1,1,1
3,1,2,2,,,01,1,5000,CINCO MIL PESOS,,,1,,,,,,,2,,,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,7185,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7201,1,1,1
3,1,2,1,2,98,1,1,10000,DIEZ MIL PESOS,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7227,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7441,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7452,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7518,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7560,3,1,3
1,1,3,2,,,1,1,5000,CINCO MIL PESOS,,,1,,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,7572,1,1,1
3,1,1,1,1,98,1,1,20000,VEINTE MIL,,,,1,,,,,,2,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7710,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7737,3,1,3
1,1,1,1,1,5000,2,1,5000,CINCO MIL PESOS,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7750,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7773,1,1,1
3,1,9,1,5,60000,2,1,10000,DIEZ MIL PESOS,,,,1,,,,,,2,,,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7799,9,1,9
3,1,2,1,2,120000,20,1,6000,SEIS MIL PESOS,,,1,,,,,,,2,,,2,1,2,2,2,2,1,1,2,1,1,1,2,2,1,7877,2,1,2
3,1,2,2,,,02,1,15000,QUINCE MIL PESOS,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8034,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8125,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8142,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8172,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8185,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8189,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8219,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8487,5,1,5
2,1,1,2,,,1,1,6000,SEIS MIL PESOS,,,1,,,,,,,2,,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,8493,3,1,3
3,1,1,2,,,01,1,5000,CINCO MIL PESOS,,,,1,,,,,,2,,,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,8889,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8894,1,1,1
3,1,2,1,3,15000,2,1,5000,CINCO MIL PESOS,,,1,,,,,,,2,,,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,8917,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8925,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8953,5,1,5
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8962,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9014,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9069,4,1,4
3,1,4,1,4,12000,02,1,12000,DOCE MIL,,,1,1,1,,,,,1,1,,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,9072,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9102,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9159,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9183,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9345,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9364,2,1,2
3,1,2,2,,,1,1,5000,CINCO MIL PESOS,,,,1,,,1,,,2,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,9446,3,1,3
3,1,2,1,4,50000,01,1,5000,CINCO MIL PESOS,,,,1,,,,,,2,,,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,9461,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9538,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9567,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9623,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9642,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9648,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9667,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9682,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9959,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9968,3,1,3
3,1,1,2,,,01,1,25000,VEINTICINCO MIL PESOS,,,,,,1,,,,1,1,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9999,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10214,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10235,3,1,3
